test_case,algorithm,success,cost,nodes_expanded,time_ms,path
Arad -> Bucharest,BFS,Yes,450,6,0.0012301250026212074,Arad -> Sibiu -> Fagaras -> Bucharest
Arad -> Bucharest,DFS,Yes,607,6,0.0015151229999901261,Arad -> Zerind -> Oradea -> Sibiu -> Fagaras -> Bucharest
Arad -> Bucharest,Greedy (Lower),Yes,418,6,0.0045505109992518555,Arad -> Sibiu -> Rimnicu Vilcea -> Pitesti -> Bucharest
Arad -> Bucharest,Greedy (Upper),Yes,418,6,0.004454563000763301,Arad -> Sibiu -> Rimnicu Vilcea -> Pitesti -> Bucharest
Arad -> Bucharest,A* (Lower),Yes,418,6,0.004722877998574404,Arad -> Sibiu -> Rimnicu Vilcea -> Pitesti -> Bucharest
Arad -> Bucharest,A* (Upper),Yes,418,6,0.005867971998668509,Arad -> Sibiu -> Rimnicu Vilcea -> Pitesti -> Bucharest
Sibiu -> Mehadia,BFS,Yes,439,11,0.002042347001406597,Sibiu -> Arad -> Timisoara -> Lugoj -> Mehadia
Sibiu -> Mehadia,DFS,Yes,439,7,0.0016549000029044691,Sibiu -> Arad -> Timisoara -> Lugoj -> Mehadia
Sibiu -> Mehadia,Greedy (Lower),Yes,421,12,0.008229126000514952,Sibiu -> Rimnicu Vilcea -> Craiova -> Drobeta -> Mehadia
Sibiu -> Mehadia,Greedy (Upper),Yes,421,16,0.00889806499981205,Sibiu -> Rimnicu Vilcea -> Craiova -> Drobeta -> Mehadia
Sibiu -> Mehadia,A* (Lower),Yes,421,12,0.006653667998762103,Sibiu -> Rimnicu Vilcea -> Craiova -> Drobeta -> Mehadia
Sibiu -> Mehadia,A* (Upper),Yes,421,16,0.00936631999866222,Sibiu -> Rimnicu Vilcea -> Craiova -> Drobeta -> Mehadia
Timisoara -> Bucharest,BFS,Yes,568,8,0.0012503090001700912,Timisoara -> Arad -> Sibiu -> Fagaras -> Bucharest
Timisoara -> Bucharest,DFS,Yes,725,7,0.0013152829997125082,Timisoara -> Arad -> Zerind -> Oradea -> Sibiu -> Fagaras -> Bucharest
